1,1,LOUISIANA,22,2001,January  ,Winter Storm,Z,28,RAPIDES,4,0,0,0,50000,0.0,,
1,1,FLORIDA,12,2001,January  ,Frost/Freeze,Z,52,POLK,0,0,0,0,0,0,,
1,1,FLORIDA,12,2001,January  ,Frost/Freeze,Z,49,PASCO,0,0,0,0,0,0,,
1,1,FLORIDA,12,2001,January  ,Frost/Freeze,Z,49,PASCO,0,0,0,0,0,0,,
1,1,IOWA,19,2001,January  ,Heavy Snow,Z,53,JONES,0,0,0,0,0.0,0.0,,
1,1,IOWA,19,2001,January  ,Heavy Snow,Z,64,JOHNSON,0,0,0,0,0.0,0.0,,
1,1,FLORIDA,12,2001,January  ,Frost/Freeze,Z,43,SUMTER,0,0,0,0,0,0,,
1,1,ILLINOIS,17,2001,January  ,Heavy Snow,Z,1,JO DAVIESS,0,0,0,0,0.0,0.0,,
1,1,FLORIDA,12,2001,January  ,Frost/Freeze,Z,48,HERNANDO,0,0,0,0,0,0,,
1,1,ILLINOIS,17,2001,January  ,Heavy Snow,Z,15,ROCK ISLAND,0,0,0,0,0.0,0.0,,
1,1,IOWA,19,2001,January  ,Heavy Snow,Z,54,JACKSON,0,0,0,0,0.0,0.0,,
1,1,IOWA,19,2001,January  ,Heavy Snow,Z,63,IOWA,0,0,0,0,0.0,0.0,,
1,1,IOWA,19,2001,January  ,Heavy Snow,Z,42,DUBUQUE,0,0,0,0,0.0,0.0,,
1,1,ILLINOIS,17,2001,January  ,Heavy Snow,Z,7,CARROLL,0,0,0,0,0.0,0.0,,
1,1,IOWA,19,2001,January  ,Heavy Snow,Z,68,SCOTT,0,0,0,0,0.0,0.0,,
1,1,IOWA,19,2001,January  ,Heavy Snow,Z,67,MUSCATINE,0,0,0,0,0.0,0.0,,
1,1,IOWA,19,2001,January  ,Heavy Snow,Z,78,LOUISA,0,0,0,0,0.0,0.0,,
1,1,IOWA,19,2001,January  ,Heavy Snow,Z,52,LINN,0,0,0,0,0.0,0.0,,
1,1,IOWA,19,2001,January  ,Heavy Snow,Z,41,DELAWARE,0,0,0,0,0.0,0.0,,
1,1,IOWA,19,2001,January  ,Heavy Snow,Z,66,CLINTON,0,0,0,0,0.0,0.0,,
1,1,IOWA,19,2001,January  ,Heavy Snow,Z,65,CEDAR,0,0,0,0,0.0,0.0,,
1,1,IOWA,19,2001,January  ,Heavy Snow,Z,40,BUCHANAN,0,0,0,0,0.0,0.0,,
1,1,IOWA,19,2001,January  ,Heavy Snow,Z,51,BENTON,0,0,0,0,0.0,0.0,,
1,1,FLORIDA,12,2001,January  ,Frost/Freeze,Z,39,LEVY,0,0,0,0,0,0,,
1,1,FLORIDA,12,2001,January  ,Frost/Freeze,Z,42,CITRUS,0,0,0,0,0,0,,
1,31,TEXAS,48,2001,January  ,Drought,Z,248,ZAPATA,0,0,0,0,0.0,0.0,,
1,31,TEXAS,48,2001,January  ,Drought,Z,254,WILLACY,0,0,0,0,0.0,1370000,,
1,31,TEXAS,48,2001,January  ,Drought,Z,252,STARR,0,0,0,0,0.0,3920000,,
1,31,TEXAS,48,2001,January  ,Drought,Z,251,KENEDY,0,0,0,0,0.0,0.0,,
1,31,TEXAS,48,2001,January  ,Drought,Z,249,JIM HOGG,0,0,0,0,0.0,0.0,,
1,31,TEXAS,48,2001,January  ,Drought,Z,253,HIDALGO,0,0,0,0,0.0,9840000,,
1,31,TEXAS,48,2001,January  ,Drought,Z,255,CAMERON,0,0,0,0,0.0,9880000,,
1,31,TEXAS,48,2001,January  ,Drought,Z,250,BROOKS,0,0,0,0,0.0,0.0,,
1,3,MISSOURI,29,2001,January  ,Extreme Cold/Wind Chill,Z,105,OZARK,0,0,0,0,0,0,,
1,3,MISSOURI,29,2001,January  ,Extreme Cold/Wind Chill,Z,106,OREGON,0,0,0,0,0,0,,
1,3,MISSOURI,29,2001,January  ,Extreme Cold/Wind Chill,Z,93,NEWTON,0,0,0,0,0,0,,
1,3,MISSOURI,29,2001,January  ,Extreme Cold/Wind Chill,Z,56,MORGAN,0,0,0,0,0,0,,
1,3,MISSOURI,29,2001,January  ,Extreme Cold/Wind Chill,Z,57,MILLER,0,0,0,0,0,0,,
1,3,MISSOURI,29,2001,January  ,Extreme Cold/Wind Chill,Z,101,MCDONALD,0,0,0,0,0,0,,
1,7,CALIFORNIA,6,2001,January  ,Frost/Freeze,Z,90,E CENTRAL SJ VALLEY,0,0,0,0,0.0,0.0,,
1,31,CALIFORNIA,6,2001,January  ,Drought,Z,96,S SIERRA MTNS,0,0,0,0,0.0,0.0,,
1,5,TEXAS,48,2001,January  ,Heavy Snow,Z,175,ROBERTSON,0,0,0,0,0.0,0.0,,
1,5,TEXAS,48,2001,January  ,Heavy Snow,Z,123,RAINS,0,0,0,0,0.0,0.0,,
1,5,TEXAS,48,2001,January  ,Heavy Snow,Z,117,PARKER,0,0,0,0,0.0,0.0,,
1,5,TEXAS,48,2001,January  ,Heavy Snow,Z,116,PALO PINTO,0,0,0,0,0.0,0.0,,
1,5,TEXAS,48,2001,January  ,Heavy Snow,Z,146,NAVARRO,0,0,0,0,0.0,0.0,,
1,5,TEXAS,48,2001,January  ,Heavy Snow,Z,91,MONTAGUE,0,0,0,0,0.0,0.0,,
1,5,TEXAS,48,2001,January  ,Heavy Snow,Z,142,MILLS,0,0,0,0,0.0,0.0,,
1,5,TEXAS,48,2001,January  ,Heavy Snow,Z,174,MILAM,0,0,0,0,0.0,0.0,,
1,5,TEXAS,48,2001,January  ,Heavy Snow,Z,159,MCLENNAN,0,0,0,0,0.0,0.0,,
